№,"item_name","ingredient_name","dosage_and_unit","pharmaceutical_form","packaging","packaging_qty","company","wholesale_price","sale_price","submitted_at"
142,AKTOSEF,CEFTRIAXONE SODIUM,1000 mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici,1,"HANKUK KORUS FARM KO LTD, Cənubi Koreya",4.59,5.51,29.11.2016
143,AKTOVEGİN,DEPROTEINIZED HEMODERIVATIVE  OF CALF BLOOD,200 mq,Tablet,Flakon,50,"NİKOMED GMBH, Almaniya",43.57,52.28,29.11.2016
144,AKTOVEGİN,DEPROTEINIZED HEMODERIVATIVE  OF CALF BLOOD,200 mq,Tablet,Flakon,50,"NİKOMED AVSTRİYA GMBH, Avstriya",43.57,52.28,29.11.2016
145,AKTOVEGİN,DEPROTEINIZED HEMODERIVATIVE  OF CALF BLOOD,40 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,25,"TAKEDA GMBH, Avstriya",38.25,45.90,29.11.2016
146,AKTOVEGİN,DEPROTEINIZED HEMODERIVATIVE  OF CALF BLOOD,40 mq/ml,İnyeksiya üçün məhlul,Ampul 5 ml,5,"TAKEDA GMBH, Avstriya",17.82,21.38,29.11.2016
147,AKTOVEGİN,DEPROTEINIZED HEMODERIVATIVE  OF CALF BLOOD,40 mq/ml,İnyeksiya üçün məhlul,Ampul 5 ml,25,"TAKEDA GMBH, Avstriya",77.39,92.20,29.11.2016
148,AKTOVEGİN,DEPROTEINIZED HEMODERIVATIVE  OF CALF BLOOD,40 mq/ml,İnyeksiya üçün məhlul,Ampul 10 ml,5,"TAKEDA GMBH, Avstriya",36.50,43.80,29.11.2016
149,AKTOVEGİN,DEPROTEINIZED HEMODERIVATIVE  OF CALF BLOOD,40 mq/ml,İnyeksiya üçün məhlul,Ampul 10 ml,25,"TAKEDA GMBH, Avstriya",164.04,189.45,29.11.2016
150,AKTOVEGİN,DEPROTEINIZED HEMODERIVATIVE  OF CALF BLOOD,50 mq/q,Krem,Tub 20 q,1,"NİKOMED AVSTRİYA GMBH, Avstriya",2.49,2.99,29.11.2016
151,AKTOVEGİN,DEPROTEINIZED HEMODERIVATIVE  OF CALF BLOOD,50 mq/q,Məlhəm,Tub 20 q,1,"NİKOMED AVSTRİYA GMBH, Avstriya",2.49,2.99,29.11.2016
152,AKTOVEGİN,DEPROTEINIZED HEMODERIVATIVE  OF CALF BLOOD,200 mq/q,Gel,Tub 20 q,1,"NİKOMED AVSTRİYA GMBH / SANOXEMİYA FARMAZEUTİKA AG, Avstriya",2.74,3.29,29.11.2016
153,AKTRAPİD,INSULIN HUMAN (r-DNA),100 IU/ml,İnyeksiya üçün məhlul,Flakon 10 ml,1,"NOVO NORDİSK A/S, Danimarka",17.97,21.56,29.11.2016
154,AKTRAPİD,INSULIN HUMAN (r-DNA),100 IU/ml,İnyeksiya üçün məhlul,Flakon 10 ml,1,"NOVO NORDİSK PRODAKŞN SAS, Fransa",17.97,21.56,29.11.2016
155,AKTRAPİD,INSULIN HUMAN (r-DNA),100 IU/ml,İnyeksiya üçün məhlul,Flakon 10 ml,5,"NOVO NORDİSK A/S, Danimarka",90.58,107.10,29.11.2016
156,AKTRAPİD,INSULIN HUMAN (r-DNA),100 IU/ml,İnyeksiya üçün məhlul,Flakon 10 ml,5,"NOVO NORDİSK PRODAKŞN SAS, Fransa",90.58,107.10,29.11.2016
157,AKTRAPİD PENFİLL,INSULIN HUMAN (r-DNA),100 IU/ml,İnyeksiya üçün məhlul,Katric 3 ml,5,"NOVO NORDİSK A/S, Danimarka",38.94,46.73,29.11.2016
158,AKTRAPİD PENFİLL,INSULIN HUMAN (r-DNA),100 IU/ml,İnyeksiya üçün məhlul,Katric 3 ml,5,"NOVO NORDİSK PRODAKŞN SAS, Fransa",38.94,46.73,29.11.2016
159,AKTRAPİD PENFİLL,INSULIN HUMAN (r-DNA),100 IU/ml,İnyeksiya üçün məhlul,Katric 3 ml,10,"NOVO NORDİSK A/S, Danimarka",77.96,92.84,29.11.2016
160,AKTRAPİD PENFİLL,INSULIN HUMAN (r-DNA),100 IU/ml,İnyeksiya üçün məhlul,Katric 3 ml,10,"NOVO NORDİSK PRODAKŞN SAS, Fransa",77.96,92.84,29.11.2016
161,AKUPAN,NEFOPAM HCL,10 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,5,"BİOKODEKS, Fransa",5.93,7.12,29.11.2016
162,AKVA MARİS,ADRIATIC SEA WATER,"0,3 ml/ml",Sprey,Flakon 30 ml,1,"SC YADRAN QALENSKİY LABORATORİY, Xorvatiya",4.96,5.95,29.11.2016
163,AKVA MARİS,ADRIATIC SEA WATER,1 ml/ml,Sprey,Flakon 30 ml,1,"SC YADRAN QALENSKİY LABORATORİY, Xorvatiya",5.47,6.56,29.11.2016
164,AKVA MARİS,ADRIATIC SEA WATER,"0,3 ml/ml",Damcı,Flakon 10 ml,1,"SC YADRAN QALENSKİY LABORATORİY, Xorvatiya",2.61,3.13,29.11.2016
165,AKVA MARİS PLYUS,ADRIATIC SEA WATER,25 q,Sprey,Flakon 30 ml,1,"SC YADRAN QALENSKİY LABORATORİY, Xorvatiya",5.17,6.20,29.11.2016
166,AKVA MARİS STRONQ,ADRIATIC SEA WATER,1 ml/ml,Sprey,Flakon 30 ml,1,"SC YADRAN QALENSKİY LABORATORİY, Xorvatiya",5.09,6.11,29.11.2016
167,AKVADETRİM,CHOLECALCIFEROL,15000 IU/ml,Damcı,Flakon 10 ml,1,"MEDANA FARMA SC, Polşa",3.73,4.48,29.11.2016
168,AKVADETRİM PLUS,CHOLECALCIFEROL + RETINOL PALMITATE,(10000 + 20000) IU/ml,Damcı,Flakon 10 ml,1,"MEDANA FARMA SC, Polşa",2.55,3.06,29.11.2016
169,AKVANAZ,WATER FOR INJECTION,1000 mq/ml,İnyeksiya üçün məhlul,Flakon 100 ml,1,"İST-FARM MMC, Rusiya",1.46,1.75,18.05.2018
170,AKVANAZ,WATER FOR INJECTION,1000 mq/ml,İnyeksiya üçün məhlul,Flakon 250 ml,1,"İST-FARM MMC, Rusiya",1.52,1.82,18.05.2018
171,AKVANAZ,WATER FOR INJECTION,1000 mq/ml,İnyeksiya üçün məhlul,Flakon 500 ml,1,"İST-FARM MMC, Rusiya",1.65,1.98,18.05.2018
172,ALAKTİN,CABERGOLINE,"0,5 mq",Tablet,Flakon,2,"TEVA ÇEX İNDASTRİS SRO, Çex Respublikası",9.51,11.41,29.11.2016
173,ALAKTİN,CABERGOLINE,"0,5 mq",Tablet,Flakon,8,"TEVA ÇEX İNDASTRİS SRO, Çex Respublikası",34.46,41.35,29.11.2016
174,ALARİD,KETOTIFEN,1 mq,Tablet,Blister,100,"SQUARE PHARMACEUTICALS LTD, Banqladeş",3.67,4.40,09.12.2017
175,ALARİD,KETOTIFEN,"0,2 mq/ml",Şərbət,Flakon 100 ml,1,"SQUARE PHARMACEUTICALS LTD, Banqladeş",3.28,3.94,09.12.2017
176,ALBAKTAM,AMPICILLIN + SULBACTAM,(1000 + 500) mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici,1,"VİTROFARMA SA, Kolumbiya",1.76,2.11,29.11.2016
177,ALBENDA,ALBENDAZOLE,200 mq,Tablet,Blister,2,"GULF FARMASYUTİKAL İND, Birləşmiş Ərəb Əmirlikləri",2.47,2.96,29.11.2016
178,ALBENTOKS,ALBENDAZOLE,200 mq,Tablet,Blister,6,"TERAGEN ETEKS KO LTD, Cənubi Koreya",2.47,2.96,29.11.2016
179,ALBENTOKS,ALBENDAZOLE,400 mq,Tablet,Blister,6,"TERAGEN ETEKS KO LTD, Cənubi Koreya",4.93,5.92,29.11.2016
180,ALBİKANSAN D5,CANDIDA ALBICANS,1 ml/ml,Məhlul,Flakon 10 ml,1,"SANUM-KEHLBEK GMBH VƏ KO KG, Almaniya",14.08,16.90,29.11.2016
181,ALBUMİN,ALBUMIN,100 mq/ml,İnyeksiya üçün məhlul,Flakon 100 ml,1,"MİKROGEN EİB FDUM, Rusiya",51.65,61.98,29.11.2016
182,ALBUMİN BİOFARMA,ALBUMIN,100 mq/ml,İnyeksiya üçün məhlul,Flakon 50 ml,1,"BİOFARMA ÖSC, Ukrayna",31.01,37.21,29.11.2016
183,ALBUMİN BİOFARMA,ALBUMIN,100 mq/ml,İnyeksiya üçün məhlul,Flakon 100 ml,1,"BİOFARMA ÖSC, Ukrayna",53.95,64.74,29.11.2016
184,ALBUMİN BİOFARMA,ALBUMIN,200 mq/ml,İnyeksiya üçün məhlul,Flakon 50 ml,1,"BİOFARMA ÖSC, Ukrayna",47.85,57.42,29.11.2016
185,ALBUMİN BİOFARMA,ALBUMIN,200 mq/ml,İnyeksiya üçün məhlul,Flakon 100 ml,1,"BİOFARMA ÖSC, Ukrayna",77.49,92.31,29.11.2016
186,ALBUNORM,ALBUMIN,50 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,1,"OKTAFARMA PRODUKTİONS GESELLSCHAFT MBH, Almaniya",64.95,77.94,29.11.2016
187,ALBUNORM,ALBUMIN,50 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,1,"OKTAFARMA FARMASEVTİKA PRODUKTİONS GES MBH, Avstriya",64.95,77.94,29.11.2016
188,ALBUNORM,ALBUMIN,50 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,1,"OKTAFARMA SAS, Fransa",59.63,71.56,29.11.2016
189,ALBUNORM,ALBUMIN,50 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,1,"OKTAFARMA AB, İsveç",59.63,71.56,29.11.2016
190,ALBUNORM,ALBUMIN,50 mq/ml,İnfuziya üçün məhlul,Flakon 250 ml,1,"OKTAFARMA PRODUKTİONS GESELLSCHAFT MBH, Almaniya",114.08,133.66,29.11.2016
191,ALBUNORM,ALBUMIN,50 mq/ml,İnfuziya üçün məhlul,Flakon 250 ml,1,"OKTAFARMA FARMASEVTİKA PRODUKTİONS GES MBH, Avstriya",114.08,133.66,29.11.2016
192,ALBUNORM,ALBUMIN,50 mq/ml,İnfuziya üçün məhlul,Flakon 250 ml,1,"OKTAFARMA SAS, Fransa",104.14,122.42,29.11.2016
193,ALBUNORM,ALBUMIN,50 mq/ml,İnfuziya üçün məhlul,Flakon 250 ml,1,"OKTAFARMA AB, İsveç",104.14,122.42,29.11.2016
194,ALBUNORM,ALBUMIN,50 mq/ml,İnfuziya üçün məhlul,Flakon 500 ml,1,"OKTAFARMA PRODUKTİONS GESELLSCHAFT MBH, Almaniya",205.62,235.61,29.11.2016
195,ALBUNORM,ALBUMIN,50 mq/ml,İnfuziya üçün məhlul,Flakon 500 ml,1,"OKTAFARMA FARMASEVTİKA PRODUKTİONS GES MBH, Avstriya",205.62,235.61,29.11.2016
196,ALBUNORM,ALBUMIN,50 mq/ml,İnfuziya üçün məhlul,Flakon 500 ml,1,"OKTAFARMA SAS, Fransa",187.78,215.81,29.11.2016
197,ALBUNORM,ALBUMIN,50 mq/ml,İnfuziya üçün məhlul,Flakon 500 ml,1,"OKTAFARMA AB, İsveç",187.78,215.81,29.11.2016
198,ALBUNORM,ALBUMIN,200 mq/ml,İnfuziya üçün məhlul,Flakon 50 ml,1,"OKTAFARMA PRODUKTİONS GESELLSCHAFT MBH, Almaniya",64.14,76.97,29.11.2016
199,ALBUNORM,ALBUMIN,200 mq/ml,İnfuziya üçün məhlul,Flakon 50 ml,1,"OKTAFARMA FARMASEVTİKA PRODUKTİONS GES MBH, Avstriya",64.14,76.97,29.11.2016
200,ALBUNORM,ALBUMIN,200 mq/ml,İnfuziya üçün məhlul,Flakon 50 ml,1,"OKTAFARMA SAS, Fransa",53.18,63.82,29.11.2016
201,ALBUNORM,ALBUMIN,200 mq/ml,İnfuziya üçün məhlul,Flakon 50 ml,1,"OKTAFARMA AB, İsveç",53.18,63.82,29.11.2016
202,ALBUNORM,ALBUMIN,200 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,1,"OKTAFARMA PRODUKTİONS GESELLSCHAFT MBH, Almaniya",96.93,114.28,29.11.2016
203,ALBUNORM,ALBUMIN,200 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,1,"OKTAFARMA FARMASEVTİKA PRODUKTİONS GES MBH, Avstriya",96.93,114.28,29.11.2016
204,ALBUNORM,ALBUMIN,200 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,1,"OKTAFARMA SAS, Fransa",96.93,114.28,29.11.2016
205,ALBUNORM,ALBUMIN,200 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,1,"OKTAFARMA AB, İsveç",96.93,114.28,29.11.2016
206,ALBUREL,ALBUMIN,200 mq/ml,İnyeksiya üçün məhlul,Flakon 50 ml,1,"RELİANS LAYF SAYNS PVT LTD, Hindistan",47.85,57.42,29.11.2016
207,ALBUREL,ALBUMIN,200 mq/ml,İnyeksiya üçün məhlul,Flakon 100 ml,1,"RELİANS LAYF SAYNS PVT LTD, Hindistan",77.49,92.31,29.11.2016
208,ALÇEBA,MEMANTINE HCL,10 mq,Tablet,Blister,30,"MERKEZ LABORATUARI İLAÇ SAN VE TİC AŞ, Türkiyə",25.66,30.79,29.11.2016
209,ALÇEBA,MEMANTINE HCL,10 mq,Tablet,Blister,100,"MERKEZ LABORATUARI İLAÇ SAN VE TİC AŞ, Türkiyə",58.96,70.75,29.11.2016
210,ALÇEBA,MEMANTINE HCL,10 mq/q,Damcı,Flakon 100 q,1,"MERKEZ LABORATUARI İLAÇ SAN VE TİC AŞ, Türkiyə",72.35,86.50,29.11.2016
211,ALDARA,IMIQUIMOD,50 mq/q,Krem,Paket 250 mq,12,"3M HELSKEA LTD, Birləşmiş Krallıq",99.84,117.56,29.11.2016
212,ALDEGİN,DEXKETOPROFEN,25 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,6,"DEVA HOLDİNQ AŞ, Türkiyə",6.40,7.68,18.05.2018
213,ALDEGİN,DEXKETOPROFEN,"12,5 mq/q",Gel,Tub 60 q,1,"DEVA HOLDİNQ AŞ, Türkiyə",4.80,5.76,18.05.2018
214,ALDES,DESLORATADINE,5 mq,Tablet,Blister,20,"FARMAKTİV İLAÇ SAN VE TİC AŞ, Türkiyə",4.56,5.47,18.05.2018
215,ALDES,DESLORATADINE,"0,5 mq/ml",Şərbət,Flakon 150 ml,1,"FARMAKTİV İLAÇ SAN VE TİC AŞ, Türkiyə",6.02,7.22,09.12.2017
216,ALDOKET,KETOROLAC TROMETAMOL,30 mq/ml,İnyeksiya üçün məhlul,Flakon 1 ml,3,"DOPPEL FARMASYUTİÇİ SRL, İtaliya",4.05,4.86,29.11.2016
217,ALEKSAN,CYTARABINE,20 mq/ml,İnyeksiya və infuziya üçün məhlul,Flakon 5 ml,1,"EBEVE FARMA GMBH NFG KG, Avstriya",6.23,7.48,29.11.2016
218,ALEKSAN,CYTARABINE,50 mq/ml,İnyeksiya və infuziya üçün məhlul,Flakon 10 ml,1,"EBEVE FARMA GMBH NFG KG, Avstriya",23.00,27.60,29.11.2016
219,ALEKSAN,CYTARABINE,50 mq/ml,İnyeksiya və infuziya üçün məhlul,Flakon 20 ml,1,"EBEVE FARMA GMBH NFG KG, Avstriya",43.98,52.78,29.11.2016
220,A-LENS,KETOROLAC TROMETHAMINE,10 mq,Tablet,Blister,20,"BORİSOV DƏRMAN PREPARATLARI MÜƏSSİSƏSİ ASC, Belarus",1.37,1.64,29.11.2016
221,ALER-G,CETIRIZINE,10 mq,Tablet,Blister,20,"GM FARMASYUTİKALS LTD, Gürcüstan",2.40,2.88,29.11.2016
222,ALERKSEM,FLUTICASONE PROPIONATE,50 mkq/doza,Sprey,"Flakon 120 doza
(10 ml)",1,"KLEVA SA, Yunanıstan",10.09,12.11,29.11.2016
223,ALERMED,LEVOCETIRIZINE,5 mq,Tablet,Blister,28,"ƏCZAÇILIQ MÜƏSSİSƏSİ ADAMED FARMA SC, Polşa",5.72,6.86,29.11.2016
224,ALFA NORMİKS,RIFAXIMIN,200 mq,Tablet,Blister,12,"ALFA VASSERMAN SPA, İtaliya",12.87,15.44,29.11.2016
225,ALFA TOKOFEROL,VITAMIN E,100 mq/ml,Yağ,Flakon 50 ml,1,"MARBİOFARM ASC, Rusiya",3.90,4.68,29.11.2016
226,ALFA TOKOFEROL ASETAT,VITAMIN E,100 mq,Kapsul,Blister,10,"MARBİOFARM ASC, Rusiya",0.89,1.07,29.11.2016
227,ALFA TOKOFEROL ASETAT,VITAMIN E,100 mq,Kapsul,Blister,1500,"MARBİOFARM ASC, Rusiya",135.92,158.24,29.11.2016
228,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,"Flakon 2,5 ml",1,"BEMA FARMA GMBH, Almaniya",5.72,6.86,29.11.2016
229,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,"Flakon 2,5 ml",1,"KUPER SA, Yunanıstan",5.29,6.35,29.11.2016
230,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,"Flakon 2,5 ml",3,"BEMA FARMA GMBH, Almaniya",16.91,20.29,29.11.2016
231,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,"Flakon 2,5 ml",3,"KUPER SA, Yunanıstan",15.63,18.76,29.11.2016
232,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,"Flakon 2,5 ml",6,"BEMA FARMA GMBH, Almaniya",28.77,34.52,29.11.2016
233,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,"Flakon 2,5 ml",6,"KUPER SA, Yunanıstan",26.38,31.66,29.11.2016
234,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,Flakon 5 ml,1,"BEMA FARMA GMBH, Almaniya",9.71,11.65,29.11.2016
235,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,Flakon 5 ml,1,"KUPER SA, Yunanıstan",8.56,10.27,29.11.2016
236,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,Flakon 5 ml,3,"BEMA FARMA GMBH, Almaniya",27.78,33.34,29.11.2016
237,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,Flakon 5 ml,3,"KUPER SA, Yunanıstan",23.92,28.70,29.11.2016
238,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,Flakon 5 ml,6,"BEMA FARMA GMBH, Almaniya",54.41,65.29,29.11.2016
239,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,Flakon 5 ml,6,"KUPER SA, Yunanıstan",46.98,56.38,29.11.2016
240,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,Flakon 10 ml,1,"BEMA FARMA GMBH, Almaniya",18.82,22.58,29.11.2016
241,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,Flakon 10 ml,1,"KUPER SA, Yunanıstan",16.39,19.67,29.11.2016
242,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,Flakon 10 ml,3,"BEMA FARMA GMBH, Almaniya",54.41,65.29,29.11.2016
243,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,Flakon 10 ml,3,"KUPER SA, Yunanıstan",46.98,56.38,29.11.2016
244,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,Flakon 10 ml,6,"BEMA FARMA GMBH, Almaniya",105.56,124.03,29.11.2016
245,ALFAM,BRIMONIDINE TARTRATE,2 mq/ml,Damcı,Flakon 10 ml,6,"KUPER SA, Yunanıstan",91.49,108.13,29.11.2016
246,ALFAMAKSİN,CEFTRIAXONE,1000 mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici,1,"FAKTA FARMASYUTİÇİ SPA, İtaliya",4.59,5.51,29.11.2016
247,ALFARON,INTERFERON ALFA-2B,3 MIU,İnyeksiya məhlulu üçün liofilizat,Flakon,5,"FARMAKLON ASC, Rusiya",29.97,35.96,29.11.2016
248,ALFATEKS,THIOCTIC (ALFA-LIPOIC) ACID,25 mq/ml,İnfuziya məhlulu üçün konsentrat,Ampul 12 ml,5,"FARMFİRMA SOTEKS QSC, Rusiya",13.37,16.04,18.05.2018
249,ALFATEKS,THIOCTIC (ALFA-LIPOIC) ACID,25 mq/ml,İnfuziya məhlulu üçün konsentrat,Ampul 24 ml,5,"FARMFİRMA SOTEKS QSC, Rusiya",24.03,28.84,18.05.2018
250,ALFA-TOKOFEROL ASETAT (VİTAMİN E),VITAMIN E ACETATE,100 mq/ml,Məhlul,Flakon 20 ml,1,"TEXNOLOQ ÖSC, Ukrayna",1.50,1.80,29.11.2016
251,ALFA-TOKOFEROL ASETAT (VİTAMİN E),VITAMIN E ACETATE,300 mq/ml,Məhlul,Flakon 20 ml,1,"TEXNOLOQ ÖSC, Ukrayna",2.40,2.88,29.11.2016
252,ALFAXOLİN,CITICOLINE,125 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,5,"KOREYA YUNAYTED FARM İNK, Cənubi Koreya",2.78,3.34,29.11.2016
253,ALFAXOLİN,CITICOLINE,250 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,5,"KOREYA YUNAYTED FARM İNK, Cənubi Koreya",6.92,8.30,29.11.2016
254,ALFAXOLİN,CITICOLINE,250 mq/ml,İnyeksiya üçün məhlul,Ampul 4 ml,5,"KOREYA YUNAYTED FARM İNK, Cənubi Koreya",13.69,16.43,29.11.2016
255,ALFLUTOP,SEA FISH BIOACTIVE CONCENTRATE,10 mq/ml,İnyeksiya üçün məhlul,Ampul 1 ml,10,"BİOTEXNOS SA / SC ZENTİVA SA, Rumıniya",45.83,55.00,31.07.2018
256,ALFLUTOP,SEA FISH BIOACTIVE CONCENTRATE,10 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,5,"BİOTEXNOS SA / SC ZENTİVA SA, Rumıniya",25.98,31.18,29.11.2016
257,ALFLUTOP,SEA FISH BIOACTIVE CONCENTRATE,10 mq/ml,İnyeksiya üçün məhlul,Şpris 2 ml,5,"BİOTEXNOS SA / SC ZENTİVA SA, Rumıniya",25.98,31.18,29.11.2016
258,ALGİKEY 3%,KETOROLAC TROMETHAMINE,30 mq/ml,İnyeksiya üçün məhlul,Ampul 1 ml,6,"SERRA PAMİES, İspaniya",5.79,6.95,29.11.2016
259,ALİFRANQ,FRANGULA + ALOE,(42 + 35) mq,Draje,Blister,20,"POZNAN BİTKİ MƏHSULLARI ŞİRKƏTİ HERBAPOL SC, Polşa",6.98,8.38,29.11.2016
260,ALİMTA,PEMETREXED,100 mq,İnfuziya məhlulu üçün liofilizat,Flakon,1,"ELAY LİLLİ VƏ KOMPANİ, Amerika Birləşmiş Ştatları",406.24,458.30,29.11.2016
261,ALİMTA,PEMETREXED,100 mq,İnfuziya məhlulu üçün liofilizat,Flakon,1,"LİLLİ FRANSA SAS, Fransa",406.24,458.30,29.11.2016
262,ALİMTA,PEMETREXED,500 mq,İnfuziya məhlulu üçün liofilizat,Flakon,1,"ELAY LİLLİ VƏ KOMPANİ, Amerika Birləşmiş Ştatları",943.47,1054.62,29.11.2016
263,ALİMTA,PEMETREXED,500 mq,İnfuziya məhlulu üçün liofilizat,Flakon,1,"LİLLİ FRANSA SAS, Fransa",943.47,1054.62,29.11.2016
264,ALİS,PREGABALIN,75 mq,Kapsul,Blister,14,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",6.29,7.55,24.05.2017
265,ALİS,PREGABALIN,75 mq,Kapsul,Blister,28,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",11.77,14.12,24.05.2017
266,ALİS,PREGABALIN,150 mq,Kapsul,Blister,28,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",20.37,24.44,24.05.2017
267,ALİS,PREGABALIN,150 mq,Kapsul,Blister,56,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",33.55,40.26,24.05.2017
268,ALKAİN,PROPARACAINE HCL,5 mq/ml,Göz üçün damcı,Flakon 15 ml,1,"ALKON-KUVRE NV, Belçika",6.59,7.91,15.07.2017
269,ALKA-ZELTSER,ACETYLSALICYLIC ACID + CITRIC ACID ANHYDROUS + SODIUM HYDROCARBONATE,(324 + 965 + 1625) mq,Fışıldayan tablet,Blister,10,"BAYER BİTTERFELD GMBH, Almaniya",4.22,5.06,29.11.2016
270,ALLEDERMİN GEL,DEXPANTHENOL + LIDOCAINE + MEPYRAMINE MALEATE,(50 + 15 + 15) mq,Gel,Tub 30 q,1,"BİLİM İLAÇ SAN VE TİC AŞ, Türkiyə",5.05,6.06,18.05.2018
271,ALLEQRO,FLUTICASONE PROPIONATE,50 mkq/doza,Sprey,"Flakon 120 doza
(15 ml)",1,"TRİMA İSRAİL FARMASEUTİKAL PRODUKTS MAABAROT MMC, İsrail",10.09,12.11,29.11.2016
272,ALLERİN 1A,CETIRIZINE DIHYDROCHLORIDE,10 mq,Tablet,Blister,7,"SALUTAS FARMA GMBH, Almaniya",1.40,1.68,29.11.2016
273,ALLERİN 1A,CETIRIZINE DIHYDROCHLORIDE,10 mq,Tablet,Blister,7,"SANDOZ İLAÇ SAN VE TİC AŞ, Türkiyə",1.27,1.52,29.11.2016
274,ALLERİN 1A,CETIRIZINE DIHYDROCHLORIDE,10 mq/ml,Damcı,Flakon 10 ml,1,"SALUTAS FARMA GMBH / LİXTENHELDT GMBH, Almaniya",3.92,4.70,29.11.2016
275,ALLERİN 1A,CETIRIZINE DIHYDROCHLORIDE,10 mq/ml,Damcı,Flakon 20 ml,1,"SALUTAS FARMA GMBH / LİXTENHELDT GMBH, Almaniya",7.63,9.16,29.11.2016
276,ALLERKAPS,CETIRIZINE DIHYDROCHLORIDE,10 mq,Kapsul,Blister,10,"MİNSKİNTERKAPS UM, Belarus",1.35,1.62,29.11.2016
277,ALLERKAPS,CETIRIZINE DIHYDROCHLORIDE,10 mq,Kapsul,Blister,20,"MİNSKİNTERKAPS UM, Belarus",2.68,3.22,29.11.2016
278,ALLERMONT,MONTELUKAST,4 mq,Tablet,Blister,28,"LABORATORİOS NORMON SA, İspaniya",7.25,8.70,18.05.2018
279,ALLERMONT,MONTELUKAST,5 mq,Tablet,Blister,28,"LABORATORİOS NORMON SA, İspaniya",7.69,9.23,18.05.2018
280,ALLERMONT,MONTELUKAST,10 mq,Tablet,Blister,28,"LABORATORİOS NORMON SA, İspaniya",11.43,13.72,29.11.2016
281,ALLEROL,CETIRIZINE DIHYDROCHLORIDE,10 mq,Tablet,Blister,10,"BİOFARMA İLAÇ SAN VE TİC AŞ, Türkiyə",1.80,2.16,29.11.2016
282,ALLERQODİL,AZELASTINE HCL,"0,5 mq/ml",Göz üçün damcı,Flakon 6 ml,1,"MEDA FARMA GMBH VƏ KO KG, Almaniya",9.20,11.04,29.11.2016
283,ALLERQODİL,AZELASTINE HCL,"0,5 mq/ml",Göz üçün damcı,Flakon 6 ml,1,"TUBİLYUKS FARMA SPA, İtaliya",9.20,11.04,29.11.2016
284,ALLERQODİL,AZELASTINE HCL,1 mq/ml,Burun üçün sprey,Flakon 10 ml,1,"MEDA MANUFAKTURİNQ GMBH / MEDA FARMA GMBH VƏ KO KG,
Almaniya",8.25,9.90,29.11.2016
285,ALLERQOSTOP,DESLORATADINE,5 mq,Tablet,Blister,10,"FİTOFARM ÖSC, Ukrayna",1.62,1.94,29.11.2016
286,ALLERQOSTOP,DESLORATADINE,5 mq,Tablet,Blister,20,"FİTOFARM ÖSC, Ukrayna",3.23,3.88,29.11.2016
287,ALLERQOZAN,CHLOROPYRAMINE HCL,10 mq/q,Krem,Tub 18 q,1,"SOFARMA ASC, Bolqarıstan",3.80,4.56,15.07.2017
